id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
34619;HappySoft;3.13.3;Euphoria;0;4.10.6,4.386.6,4.464.4,4.464.3,4.308.5,4.464.2;CaptureColony15_689,CaptureColony13_777,Illusion,Tears,Cap_Colony4,Forsaken;[VIP];Псолао;51;III;67648316;1489530.00;290704;115645;278186;0;16.03;0;0.00;
34624;Alcohol;3.13.2;Digger_1;0;4.464.1,4.464.6,4.464.5;Digger-2,Digger-3,Digger-4;[VIP];Псолао;51;III;18897941;379.21;1127564;86892;20326;0;17.41;0;0.00;
34620;XaCaH;2.28.5;Fortre_SS;0;4.151.5,4.1.4,4.57.4;CAMP-2,CAMP-1,CAMP-3;[WOA];Лиенсу;51;III;16457498;982546.00;69160;150773;278186;0;15.49;0;0.00;
34621;VIUST;3.70.5;negra;0;4.38.6,4.112.6,4.52.5;Tuzemetz,Papuasez,Aborigen;[FIGA];Псолао;51;I;11149428;3338.64;46332;77906;123108;0;14.96;0;0.00;
34622;Marselon;1.44.4;Katrina;0;4.442.2,4.442.1,4.442.3;Katrina3,Katrina2,Katrina4;[LT];Воранер;51;III;11120961;74610.00;303278;95345;278186;0;11.97;0;0.00;
34623;evilus;3.39.3;sevendust;0;4.259.4,4.259.6,4.259.5;disturbed,staticx,godsmack;[LT];Псолао;51;I;10886494;3513.94;84924;78835;218559;0;2.78;0;0.00;
34632;KOIIIMAP;2.6.1;tyt1;0;4.437.2,4.4.1,4.437.1,4.483.6,4.128.5;tam3,DeadColony11,tam2,tam1,vdsfsdfdsf;[TA];Лиенсу;51;III;9045339;107167.00;36380;134981;111739;0;16.99;0;0.00;
34625;APOHAP;1.60.2;o_O_o;0;4.372.2,4.427.5,4.76.5;004_894,003_557,002_497;[WOA];Воранер;51;III;8127836;70937.00;48320;101410;278186;0;11.43;0;0.00;
34639;XBOCTiK;1.81.1;KOTiK;0;4.481.3,4.318.4,4.239.5,4.482.3,4.480.4,4.126.6;KOTiK4813,CaptureColony14_867,CaptureColony15,KOTiK4823,KOTiK4804,pnb1;нейтралы;Воранер;51;III;8106177;1108790.00;51822;188803;163965;0;22.86;0;0.00;
34626;Rekkardinal;3.4.6;Rabota;0;4.4.6,4.297.4,4.301.4;260,ooop8,oop9;[LT];Псолао;51;III;7253416;73487.90;104388;118514;11000;0;8.97;0;0.00;
34635;nik269;3.13.6;ResowNet;0;4.239.6,4.430.6,4.201.4,4.244.2,4.20.6,4.105.6;CaptureColony12_466,Forpost,Botaniki,CaptureColony16_784,Arxe,CaptureColony13_778;[VIP];Псолао;51;III;5723070;338451.00;191600;170206;278186;0;14.53;0;0.00;
34627;Alexsander39;2.41.4;tuta_pauki;0;4.77.5,4.77.3,4.75.5;-tuta-arhi-,tutocki-placdarm,tuta-neuci;[WOA];Лиенсу;51;III;5580327;5018.64;170952;122661;230280;0;14.96;0;0.00;
34628;Runo;3.6.3;Argon100;0;4.315.1,4.290.1,4.345.6;Argon300,Argon200,Argon400;нейтралы;Псолао;0;I;4811165;29.75;24593;66700;278186;0;6.94;0;0.00;
34633;Mars65;3.53.3;vertushka;0;4.392.1,4.392.3,4.392.2;vertushka2,vertushka4,vertushka3;[LT];Псолао;51;III;4105215;0.02;295726;90059;278186;0;2.35;0;0.00;
34634;Phristen;2.20.1;Holera;0;4.164.1,4.157.4,4.133.5;Ospa,Chuma,Prokaza;[LT];Лиенсу;51;III;3807315;92974.90;172480;113773;278186;0;11.22;0;0.00;
34636;NikVadu;2.41.1;Bumtestyt;0;4.109.1,4.74.3,4.74.2;Prorayon,Zagopje,Ugushka;[WOA];Лиенсу;51;III;3592710;15991.50;145982;158132;278186;0;3.31;0;0.00;
34638;Bucha9;2.68.1;Katik;0;4.441.2,4.441.3,4.441.1;Katik3,Katik4,Katik2;[LT];Лиенсу;51;III;3357956;165.37;323418;99600;278186;0;2.99;0;0.00;
34637;incom;2.69.1;incom1;0;4.445.1,4.445.3,4.445.2;incom11,incom1111,incom111;[LT];Лиенсу;51;III;3340668;0.00;140244;77150;278186;0;9.40;0;0.00;
34630;fermer;1.4.6;XIMIK;0;4.9.4,4.112.1,4.129.3,4.438.2,4.260.4;fair1,CaptureColony17,krokusar2,XIMIK-3,XIMIK-2;нейтралы;Воранер;51;III;3007473;142510.00;17664;99368;158652;0;14.21;0;0.00;
