id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
12323;expresso;3.100.5;Ama1;1;4.44.4;Ama2;нейтралы;Псолао;129;III;48125695;27355.90;37334;96837;19130;0;17.15;61348;0.00;
12324;justice15;2.12.6;justice15;1;4.12.6;justice1;[WAR];Лиенсу;68;III;25075004;5604.33;988;39055;12746;0;15.26;28087;0.00;
12327;sav497;1.25.6;prizrak;0;4.49.1;umniki;[WAR];Воранер;25;III;5778227;89.97;13142;38630;22897;0;9.46;4669;0.00;
12333;urhon;1.16.6;Kolovrat;1;4.25.6;Etruria;[PPP];Воранер;39;III;5598322;831.72;78974;47170;21141;0;20.43;4405;0.00;
12334;chamsu;1.7.5;Drakon;0;4.17.5;Varvar;[KMFDM];Воранер;32;III;4220173;670.85;27649;41960;20508;0;20.55;12790;0.00;
12348;iskdir;3.9.2;Connect;0;4.16.2;hjjjuytr;[NWO];Псолао;29;III;4089078;18.59;49302;31117;39576;0;18.41;1272;0.00;
12329;RAKSHAZ;2.100.1;Blees;0;4.25.2;Post;[PPP];Лиенсу;26;III;3959474;173.44;3092;46370;28670;0;8.45;2700;0.00;
12331;AndVarVar;3.10.5;Mitra;0;4.10.2;Sheratan;[VARVARY];Псолао;32;III;3625919;110.70;71229;38559;22619;0;9.21;3518;0.00;
12326;_KORSAR_;3.9.3;NOMERSY;1;4.46.4;Nauka1111;[PPP];Псолао;34;III;3554448;998.19;24728;41428;17159;0;9.84;2306;0.00;
12393;estelle;1.67.2;8812;1;4.67.2;m88;[KGB];Воранер;29;III;3156933;0.03;45629;35825;36446;0;18.92;1686;0.00;
12336;Seropunia;3.4.3;KALINA;0;4.24.4;AMUR;[PS];Псолао;48;III;3128715;2088.11;54093;50984;28620;0;23.96;3567;0.00;
12349;cigd;2.10.1;Die_Hard;0;4.10.6;cerber;[WAR];Лиенсу;28;III;2788527;21.72;38129;40685;34703;0;21.06;745;0.00;
12350;DrWest;1.2.1;RedruM;1;4.45.6;MurdeR;нейтралы;Воранер;28;III;2656271;107.80;44884;43260;15338;0;22.45;3190;0.00;
