id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
31259;Framm;3.145.6;Gnomikus;0;4.155.6,4.33.3,4.88.6;Elfius,MimicryTower3,Trollius;[EFP];Псолао;126;III;8399667;20172.50;294198;75360;71509;0;12.37;-9344;0.00;
31256;MR7;1.263.1;Paris;0;4.2.6,4.173.1;Versailles,Miramas;[GALEON];Воранер;33;III;8102958;779.89;1878;69172;20630;0;11.61;1102;0.00;
31260;robur;3.95.2;xpeh;1;4.63.3,4.348.2,4.67.6;MimicryTower17,ukma,redjka;[GALEON];Псолао;124;III;6761060;18823.00;252145;146174;34173;0;11.16;-7229;0.00;
31258;swinopass;1.218.3;DJDAN-s_home;0;4.218.3,4.29.3;zloyTushkan,sota-gnomika;[RAZD];Воранер;106;III;6366907;13122.20;6801;87958;14086;0;11.46;-1993;0.00;
31257;Ra_;2.115.5;Pirate_Station;0;4.49.6,4.140.5;Kitezh,Vizantia;[PANTHER];Лиенсу;125;III;6119258;21609.20;71203;48525;129555;0;11.76;-6903;0.00;
31265;sm38149;2.77.6;38149;0;4.131.1,4.131.6,4.48.1;sm1,Sm2,MimicryTower13;[PSIMM];Лиенсу;111;III;6002668;12980.30;130253;71770;61660;0;12.07;1415;0.00;
31262;minny2000;1.264.5;disneyland;1;4.51.4,4.160.4,4.63.5;disney,land,MimicryTower6;[PSIMM];Воранер;62;III;5856423;873.04;199031;130155;60145;0;16.29;-1248;0.00;
31264;Yaromir;3.95.1;Kolo;0;4.42.5,4.181.5,4.88.5;Midgard,Ramhat,MimicryTower1;[GALEON];Псолао;88;III;4710829;3330.37;355813;105406;70714;0;10.71;-5824;0.00;
31281;skol;1.264.6;fish;1;4.71.4,4.30.3,4.87.6;MimicryTower8,fish1,fish2;[PSIMM];Воранер;115;III;4532251;13985.50;133286;135937;35118;0;16.14;-417;0.00;
31279;sborka;1.264.1;sinod;1;4.56.4,4.172.6,4.86.4;crematorium,paradise,MimicryTower16;[PSIMM];Воранер;109;III;4474614;10584.30;173128;140500;91016;0;28.51;6020;0.00;
31261;lely_li;3.9.3;terra_incognit;0;4.348.4,4.15.4;Lely,ALFAtsenTAVRA;[PANTHER];Псолао;77;III;4417379;5207.33;78483;63670;61037;0;11.16;-5433;0.00;
31269;badrobot;1.264.2;badrobot;1;4.156.2,4.156.5,4.82.4;prostobad,robocity,MimicryTower11;[PSIMM];Воранер;76;III;4332919;3894.64;156085;92155;54511;0;14.78;-3839;0.00;
31266;Strelok_AES;1.264.3;Zaadum;1;4.91.6,4.346.1,4.346.2;MimicryTower5,BlackClouds,SoulScream;[PSIMM];Воранер;130;III;3946816;26356.90;177942;123610;39551;0;20.97;-2558;0.00;
31268;Beatle;1.185.6;Caver;1;4.193.3,4.27.1,4.92.5;gamburg,liverpool,MimicryTower4;[PSIMM];Воранер;68;III;3597273;169.97;306940;87009;129246;0;11.16;-501;0.00;
31282;pticalovkach;2.12.5;ptica;1;4.49.1,4.53.6,4.42.6;MimicryTower2,ptica2,pticalovkach2;[PSIMM];Лиенсу;74;III;3497795;2631.39;228917;103655;27553;0;13.88;3880;0.00;
31277;ssebeshuk;2.190.4;flatron12;1;4.124.2,4.91.4,4.190.4;flatron121,MimicryTower18,fletron122;[!RUS];Лиенсу;68;III;3402780;2008.81;183186;83075;101325;0;10.26;-611;0.00;
31435;dragonIMV;2.20.5;dragongrad;0;4.25.3,4.12.2,4.56.1;dragonland2,dragonland3,MimicryTower20;[PSIMM];Лиенсу;86;III;3328403;1459.59;493803;109580;19287;0;10.86;-688;0.00;
