id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
63283;biofulf;3.9.6;biofulf;1;;;нейтралы;Псолао;11;I;11139885;0.00;89;7602;1859;0;0.00;166215;0.00;
63282;arhiepiscop;3.7.2;TEST_ACC_1;0;;;[TEST];Псолао;18;II;6403447;0.00;2187;22084;6060;0;0.00;-298505;0.00;
63284;netortik;2.6.5;tortik;1;4.10.4;pirogok;нейтралы;Лиенсу;18;II;3296245;0.00;130;25190;3050;0;0.00;-106404;0.00;
63555;YABABAYKO;1.9.3;WELCOME;1;4.21.1;Halloween;нейтралы;Воранер;13;I;3028089;0.00;53;8957;2804;0;0.00;70797;0.00;
63287;25MRAKUS;2.2.2;Giperboreia;1;4.15.1;Giperboreja2;нейтралы;Лиенсу;16;II;3009039;0.00;1027;19480;2802;0;0.00;254594;0.00;
63285;Eralash;1.2.5;Bodun;1;;;[BUSHIDO];Воранер;15;I;2869101;0.00;126;15230;2320;0;0.00;-21001;0.00;
63288;Semerga1;1.6.3;Zigurat;1;;;нейтралы;Воранер;12;I;2589494;0.00;122;9283;1665;0;0.00;-22671;0.00;
63286;__sid__;1.1.3;home;1;4.11.1;-1-;[GW];Воранер;17;II;2493979;0.07;225;20648;3182;0;0.00;63679;0.00;
63291;xNAGx;2.3.4;nagoland;1;;;нейтралы;Лиенсу;14;I;1793172;0.00;348;13115;1803;0;0.00;-7843;0.00;
63290;kbyf;2.3.3;kbyf1;1;;;нейтралы;Лиенсу;13;I;1530865;0.00;216;11070;1713;0;0.00;4677;0.00;
63294;siska_mamonta;3.4.2;meolit;1;;;нейтралы;Псолао;12;I;1519420;0.00;253;9243;1696;0;0.00;59037;0.00;
63292;Atakun;1.1.5;Hata_atakuna;1;;;[GW];Воранер;13;I;1436830;0.01;336;11440;1946;0;0.00;15979;0.00;
63299;abkbys;1.11.1;moy_domik;1;;;нейтралы;Воранер;13;I;1397419;0.00;29;10260;2020;0;0.00;-80801;0.00;
63293;MrWindux;1.13.4;DreamLand;1;;;нейтралы;Воранер;15;I;1383152;0.00;77;14820;2459;0;0.00;-49085;0.00;
63295;GagarinPBCH;2.9.5;Saratov;1;;;[PBCH];Лиенсу;12;II;1355240;0.01;143;8735;1268;0;0.00;33338;0.00;
63289;ceed96;3.3.6;fantom;1;;;[GW];Псолао;13;I;1337575;0.00;180;9787;2298;0;0.00;-21673;0.00;
63298;Pain_;3.2.4;Bless;1;;;нейтралы;Псолао;12;I;1281498;0.00;209;9066;1719;0;0.00;-16326;0.00;
63301;grobbulus;3.5.6;astrem;1;;;нейтралы;Псолао;13;I;1278995;0.00;351;11813;2040;0;0.00;24774;0.00;
63300;digitalis;1.2.4;v01;1;;;нейтралы;Воранер;12;I;1264059;0.00;101;8378;2168;0;0.00;-25668;0.00;
63296;Woranok;2.4.1;lissaD;0;;;нейтралы;Лиенсу;12;I;1259999;0.00;95;8509;1471;0;0.00;42513;0.00;
63339;Antriel;1.15.2;Antri;1;;;нейтралы;Воранер;12;I;1188425;0.00;153;9390;1627;0;0.00;20371;0.00;
63297;kanash;3.2.5;kanash;1;;;нейтралы;Псолао;11;I;1171685;0.00;132;7060;1392;0;0.00;42339;0.00;
63309;VITOKK;1.4.6;rohlyandia;1;;;нейтралы;Воранер;12;I;1167944;0.00;167;9845;1767;0;0.00;64256;0.00;
63310;_Warrkan_;1.3.6;Balderdash;1;;;нейтралы;Воранер;12;I;1159426;0.00;115;7885;1837;0;0.00;177557;0.00;
