id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
56678;Afinelka;2.125.2;Afinafi;1;4.213.3,4.213.2;Delia-2,Delia-1;[FEAR];Лиенсу;25;III;16364025;0.07;2647;75605;8930;0;7.69;-113155;0.00;
29191;Jamais_vu;3.121.5;Dejavu;1;4.121.5,4.121.4;Jamais-Vu2,Jamais-Vu;[FEAR];Псолао;72;III;14995894;3150.17;185678;101634;27824;0;11.16;-154234;0.00;
29174;ShadowStalker;3.122.6;Shade1;1;4.213.6,4.517.6;Shade3,Shade2;[FEAR];Псолао;155;III;11612702;75750.20;247645;104473;11268;0;11.61;-107588;0.00;
29176;ziski;2.119.6;_Vault_13_;1;4.394.6,4.119.5,4.393.6;MimicryTower15_465,JunkTown,greger;[DRAGON];Лиенсу;133;III;10566954;29936.80;189783;107830;40742;0;13.88;-90231;0.00;
29175;siberjakmamin;1.210.4;borneo_955;1;4.406.6,4.404.4,4.392.3;bocao,boneo,MimicryTower19_764;[DRAGON];Воранер;44;III;10438305;1317.46;31962;81095;56253;0;6.64;-61980;0.00;
29177;gonchar54;2.30.1;capetan;1;4.58.5,4.164.1,4.56.5;Pauk,MimicryTower8,Vampir;[ULTRA];Лиенсу;116;III;7612854;12006.20;372434;119140;58120;0;8.90;-63193;0.00;
29183;seregakum;1.214.2;Sphera;1;4.396.6,4.207.2,4.15.1;MimicryTower13_985,Profil,Pobora;[DRAGON];Воранер;154;III;5633412;71699.70;144615;86435;27437;0;10.71;-55833;0.00;
29178;Cepryc;3.118.2;Nekropolis_747;1;4.433.2,4.57.4,4.110.3;Nekropoliten,HeKPonoJIb,MimicryTower18_457;[DRAGON];Псолао;148;III;5381121;67967.50;135109;140390;16091;0;9.65;-52226;0.00;
29184;valerio57;1.237.3;Iva;1;4.420.4,4.171.3;Italia,Verona;[ULTRA];Воранер;96;III;4379825;8364.11;136416;77421;40557;0;9.80;-33099;0.00;
29181;Gremwiz;3.120.2;HomeWorldPsi;1;4.501.5,4.135.5,4.145.2;Colonypsi1,MimicryTower14,colonypsi2;[SSS];Псолао;135;III;4102585;33028.20;128350;94040;47246;0;8.90;-32786;0.00;
29185;ktif28;1.238.6;ktifia;1;4.296.2,4.295.2,4.290.6;ktifia1,ktifia2,MimicryTower3;[FEAR];Воранер;123;III;3920388;19154.70;210177;139550;20520;0;18.10;-24861;0.00;
29182;den1071;1.242.3;TORN2000_787;0;4.296.3,4.295.3;torn296,Torn2;[VTB];Воранер;122;III;3780170;19929.50;156264;91165;12325;0;9.20;-36520;0.00;
44075;Gektorr;1.214.3;Jetta_5;1;4.398.1,4.19.3,4.207.3;MimicryTower19_575,delta_895,gamma;[DRAGON];Воранер;138;III;3676963;38525.60;127706;130280;22223;0;10.26;-29787;0.00;
29186;AJleksey;2.23.3;Jlexa_Home;1;4.142.1,4.407.1;JlexaKoJloH1,JlexaKoJloH2;нейтралы;Лиенсу;125;III;3565103;21610.40;206900;78855;10710;0;9.95;-34571;0.00;
29196;fix7709;3.75.5;fix2ra;1;4.371.6,4.371.1;tix2ra,mix2ra;[ULTRA];Псолао;60;III;3554786;2025.47;147184;114926;12918;0;14.03;-23081;0.00;
29189;a93;1.102.4;KAZAN;0;4.509.4,4.282.4;KAZAN3,KAZAN2;[FEAR];Воранер;102;III;3537636;8817.28;200528;120495;15531;0;8.90;-25042;0.00;
43344;boro100;1.216.1;roma50;0;4.278.2,4.398.5,4.217.5;MimicryTower24,roma52,roma51;[DRAGON];Воранер;55;III;3131811;827.01;158734;139725;22550;0;15.08;-23189;0.00;
29193;fakel;3.117.2;fakel1983;1;4.162.3,4.562.2,4.390.2;MimicryTower7,Saratov,Saratov-2;[COALITIO];Псолао;168;III;3121613;145539.00;108314;120199;10798;0;14.18;-22992;0.00;
29190;Mylady;3.114.4;Great_Britain;0;4.109.2,4.536.2,4.122.4;MimicryTower12_457,Ireland,Scotland;[DRAGON];Псолао;114;III;3072880;13498.30;176326;151435;13315;0;9.05;-29233;0.00;
29192;snoopjj;1.147.1;SnoopSweethome_995;0;4.265.5,4.265.4;japan,italiya;нейтралы;Воранер;64;III;3022417;3361.48;68952;82015;54636;0;7.54;-20405;0.00;
64706;lewin11;1.1.1;vik;1;4.153.3,4.1.2;vik12,Vik22;нейтралы;Воранер;131;III;2989423;28689.30;139082;107455;20067;0;50.00;-28291;0.00;
29194;F17608;2.185.4;TITAN;1;4.264.2,4.264.1;ALERT,NEXSUS;[SSS];Лиенсу;96;III;2980814;7844.28;142339;123888;21123;0;8.30;-18402;0.00;
