id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
55282;Igougowego;2.3.3;ZlobniyNeytral;1;4.46.2;DoggyStyla;[HR];Лиенсу;114;III;14115729;13895.50;123766;62400;79836;0;0.00;-26407;0.00;
22945;Enki;2.130.3;Eridu;1;4.10.5,4.10.2,4.44.4;MimicryTower14_749,MimicryTower22_478,Babylon;[RAZD];Лиенсу;54;III;9962651;2032.75;23031;75795;90967;0;0.00;-9765;0.00;
22948;vitok;1.156.1;rohliandia;1;4.15.1,4.34.5,4.17.1;MimicryTower17_844,ROHAN2,MimicryTower16_985;[TERRANS];Воранер;111;III;9602477;11232.20;262301;96675;35201;0;0.00;24030;0.00;
22944;GRECHKA;2.3.6;KASHKA;1;4.35.6,4.18.4,4.5.3;BACARDIRUM,MimicryTower39_754,MimicryTower18;[TERRANS];Лиенсу;106;III;9236690;10429.90;176024;85735;28865;0;0.00;-21230;0.00;
22957;neat1ve;2.89.3;Hashish;1;4.72.1,4.10.3,4.11.4;trrrrrrrr,MimicryTower41_944,MimicryTower14_589;[RAZD];Лиенсу;77;III;7862469;4674.91;95452;121985;23018;0;0.00;-8776;0.00;
22946;tarantulMF;3.10.5;Nest;1;4.37.1,4.27.5,4.6.2;dfgdfgdfg,MimicryTower24_695,MimicryTower33;[HR];Псолао;48;III;7344306;817.38;127066;91067;26250;0;0.00;-11972;0.00;
22950;Gerasim_fa;1.5.3;Dooom;1;4.45.6,4.30.2,4.1.1;Colony1,MimicryTower18_877,MimicryTower39;[SLEM];Воранер;42;III;6832360;1362.60;37070;83035;21957;0;0.00;-6236;0.00;
22962;Rostyslav;3.41.6;Rost;0;4.49.4,4.20.3,4.22.4;Rost1,MimicryTower20_954,MimicryTower31_579;[VINK];Псолао;63;III;6806864;1868.68;193802;91063;17389;0;0.00;-11213;0.00;
22941;orbital;2.8.6;ORBITA;1;4.27.3,4.5.1,4.35.4;MimicryTower43_444,MimicryTower19,VEGA-0001;[TERRANS];Лиенсу;88;III;6698665;7967.02;31290;89900;21881;0;0.00;-10478;0.00;
22954;kapengagen2;3.5.1;kdhfkjshfk;0;4.10.1,4.13.6,4.53.1;lhfggdtrd,MimicryTower52,medtjydf;[RAZD];Псолао;59;III;6676893;2004.52;86078;161854;21721;0;0.00;-10588;0.00;
22952;PSIMM;2.7.5;psi;1;4.36.1,4.16.6,4.16.1;jmfyhrt,MimicryTower37_965,MimicryTower47_968;[ROGER];Лиенсу;49;III;6339592;1097.60;114442;80110;27214;0;0.00;25196;0.00;
22949;sav497;1.11.1;domik;1;4.59.5,4.11.1,4.11.6;klon,MimicryTower32_698,MimicryTower12_897;[RAZD];Воранер;54;III;6175975;1529.36;132965;94425;10266;0;0.00;-7927;0.00;
22978;CTPELOK777;3.93.4;smile;1;4.9.3,4.9.5,4.53.4;MimicryTower43,MimicryTower48,smilest;[TERRANS];Псолао;49;III;5735722;1157.61;118702;85524;14867;0;0.00;-9351;0.00;
22967;KRIS100;3.11.1;balagan;1;4.55.1,4.23.6,4.1.3;balagan2,MimicryTower14_765,MimicryTower42;[KCP];Псолао;91;III;5213900;5083.78;307351;97158;18374;0;0.00;507;0.00;
22965;Zga;2.8.3;irishpub;0;4.18.1,4.18.2,4.40.4;MimicryTower17_478,MimicryTower35_977,pubpub;[HR];Лиенсу;40;III;5191001;758.41;54062;84645;24299;0;0.00;-6198;0.00;
22990;Spirit_GL;2.19.2;Spirit_GL;0;4.78.5,4.23.3,4.25.6;Psych,MimicryTower16_889,MimicryTower50;[KCP];Лиенсу;34;III;5107861;343.90;33407;84710;32851;0;0.00;-4411;0.00;
22976;dartl;1.7.2;sakura;0;4.23.5,4.48.2,4.25.3;MimicryTower18_688,dtrawe,MimicryTower12_848;[KCP];Воранер;31;III;4922797;280.01;8022;74120;43884;0;0.00;-5656;0.00;
23012;Gilgamesh;2.82.2;Shumeria;1;4.20.1,4.4.2,4.54.6;MimicryTower10_646,MimicryTower36,Akkad;[VINK];Лиенсу;51;III;4864835;67.47;210424;70585;52644;0;0.00;-3595;0.00;
22970;fatinya;3.68.4;AVALON;1;4.17.2,4.15.3,4.77.4;MimicryTower45_746,MimicryTower48_499,Mooriya;[TERRANS];Псолао;71;III;4651453;1822.35;278584;99916;21410;0;0.00;68840;0.00;
23017;tyxwn;3.98.4;Rodos;1;4.93.3,4.7.1,4.12.1;NewRodos,MimicryTower8,MimicryTower16_758;[HANSA];Псолао;53;III;4625055;196.90;229050;66945;49088;0;0.00;-3440;0.00;
23018;Varvar_;1.139.1;Ckopo;1;4.14.4,4.91.6,4.13.2;MimicryTower28_949,Varvaria,MimicryTower49_967;[VARVARY];Воранер;46;III;4478248;426.29;147493;87820;16401;0;0.00;-2306;0.00;
22997;KZB;1.8.3;G-Unit;1;4.24.2,4.23.1,4.75.3;MimicryTower44_458,MimicryTower16_997,Reloaded;[KCP];Воранер;48;III;4449515;2208.36;6534;107502;15365;0;0.00;460;0.00;
22966;free_man;2.3.4;freedom;0;4.3.4,4.35.2,4.15.5;MimicryTower11,earth,MimicryTower19_994;[TERRANS];Лиенсу;50;III;4413709;1906.99;73145;78869;18997;0;0.00;-6837;0.00;
23023;KOGAN777;1.55.4;Pandemonium;1;4.54.1,4.14.2,4.14.3;Demonia1,MimicryTower40_697,MimicryTower18_955;нейтралы;Воранер;46;III;4238598;70.31;160220;72140;47713;0;0.00;28102;0.00;
