id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
8240;justice15;3.264.1;justice15;1;4.12.2,4.13.3,4.15.5;justice3,justice1,justice2;[AP];Псолао;163;III;29512844;99591.80;215914;80450;177346;0;24.46;0;0.00;
8238;wadi555;3.321.2;wadim;1;4.317.1,4.130.2,4.301.6;Vadim1,New-Lemberg,boevaiy_;[AP];Псолао;177;III;22049684;195397.00;201107;92555;72890;0;21.19;0;0.00;
44078;Shadowman86;3.120.5;Shadowhouse;1;4.21.1,4.280.2,4.460.6;LivingInTwilight,Memfis,TwilightZone;[BTR];Псолао;184;III;16984989;332712.00;211335;131439;18016;0;22.70;0;0.00;
8239;nikolaenkouman;1.100.1;uman_2;1;4.565.6,4.485.1,4.499.1;uman-2-1,qqq1,uman-2-2;[EMPIRE_V];Воранер;182;III;16506006;272334.00;127390;156955;18483;0;22.45;0;0.00;
8259;ASPIDZVN;2.28.4;Родедендрон;1;4.410.1,4.410.2,4.434.2;ЗдесьБудет,СтолицаВодолея,Marks;[CLV];Лиенсу;178;III;13129620;209243.00;204942;173603;80045;0;23.33;0;0.00;
44077;gvorn;3.155.5;Koryto;1;4.183.1,4.182.1;Koryto-3,Koryto-2;[BTR];Псолао;101;III;10973507;8380.44;213654;108099;29458;0;15.76;0;0.00;
8241;Tasman05;1.214.4;AlexLand;1;4.536.4,4.451.2,4.11.4;Alexland3,AlexLand2,Норка2;[EMPIRE_V];Воранер;142;III;8147213;44371.90;141082;110172;69814;0;17.78;0;0.00;
8243;expresso;3.72.1;Aaaa1;0;4.375.4,4.314.2,4.35.3;Aaa3,kaleidoscope,Aaa2;[PSOLAO];Псолао;144;III;7903209;45946.90;192335;149420;154126;0;4.54;0;0.00;
8255;stop95;2.36.1;edinorog;1;4.291.4,4.81.2,4.278.4;AcidColony3,koshechka1,koshechka;[CLV];Лиенсу;152;III;7639507;70056.70;113527;158155;29086;0;26.36;0;0.00;
8252;DDV2005;3.170.1;Целина;1;4.340.4,4.468.4,4.475.6;Целина-1,Целина-2,mels003;[AP];Псолао;159;III;7436444;88066.90;115956;100118;55873;0;21.56;0;0.00;
8244;AEG;1.264.1;Alien;0;4.208.6,4.95.3;Alien3,Alien2;[EMPIRE_V];Воранер;93;III;7414155;5884.04;242827;126445;30956;0;17.53;0;0.00;
8750;VragV;1.311.1;кератор;1;4.393.2,4.276.6,4.296.4;кирпич,кератон,Psolaocolony3;[P4ELKA];Воранер;156;III;7203981;79674.70;96353;85475;27540;0;21.31;0;0.00;
8249;RVADAK;3.302.1;KADAVR_HOME;1;4.305.2,4.197.1,4.319.2;RVADAK-CHITER,RVADAK_WORK,RVADAK_RELAX;[PC];Псолао;162;III;7161180;98826.20;200464;116653;56491;0;18.16;0;0.00;
8289;birel;3.72.2;racingzone;0;4.452.2,4.452.1,4.449.6;IMPERIA777,Rasingzone2,Roger2;[PSOLAO];Псолао;149;III;6053401;58156.70;92452;157551;18343;0;24.21;0;0.00;
42674;BarY;3.297.5;BarY;1;4.446.1,4.41.3;BarY-1_769,BarY-2_646;[BTR];Псолао;70;III;5798381;1990.92;232780;145537;12790;0;17.65;0;0.00;
8250;dgefff;3.110.5;Джеф;1;4.314.1,4.409.6;AVB,rotveil;[MPSL];Псолао;119;III;5066317;15554.70;262626;91144;46265;0;13.49;0;0.00;
8295;Oldwarn;2.5.3;Страж;1;4.348.1,4.411.3,4.411.2;Drago3,страж1,страж2;[CLV];Лиенсу;93;III;4658858;6585.28;147026;164875;48123;0;24.97;0;0.00;
8390;TITANIUM777;1.285.1;ZxZ;0;4.319.5,4.318.6,4.323.3;ZxZ1,ZxZ2,Prihlop;[EMPIRE_V];Воранер;47;III;4097009;1495.97;48369;122650;15844;0;21.82;0;0.00;
42680;Baktr;3.123.5;Incub_785;1;4.514.1,4.513.1,4.346.1;Rezerv1,Rezerv2,MoyaDacha;[BTR];Псолао;61;III;4042203;610.87;269418;94369;30992;0;15.64;0;0.00;
8260;KENTAVRUS;3.291.2;QWERT;1;4.329.3,4.313.6,4.281.1;QWERT-3,QWERT-2,BAUSKA2;[AP];Псолао;114;III;3906344;12534.00;241656;193854;35968;0;27.74;0;0.00;
8253;ponchik1980;2.222.2;stars;1;4.158.5,4.148.4;ponchik1980,ponchik198;[PIRATES];Лиенсу;61;III;3811419;2322.98;129772;79700;48493;0;19.42;0;0.00;
8247;Fericl;2.136.6;Iliy;0;4.425.1,4.425.3,4.425.4;park,parking,Luxor_;[CLV];Лиенсу;32;III;3792443;28.35;42408;72346;17898;0;4.04;0;0.00;
42682;Frizerdom;3.267.4;Freewere;0;4.357.4,4.398.4;Freeground,Freegrow;[BTR];Псолао;124;III;3753436;68254.80;152390;116352;34518;0;20.05;0;0.00;
8269;Gen2108;2.191.6;Остров;1;4.483.6,4.391.2,4.391.3;Civilization_War,Остров2,Остров3;[CLV];Лиенсу;70;III;3564234;881.37;173756;112015;231409;0;12.74;0;0.00;
8263;kerb;3.2.4;MEGAZVEZDA;1;4.400.6,4.400.5;ZVEZDA,ZVEZDA2;[AP];Псолао;49;III;3266057;484.47;102328;57005;139813;0;8.83;0;0.00;
8261;RWA;3.320.3;RWA;0;4.157.1,4.618.5;old1,new1;[AP];Псолао;93;III;3231734;7436.29;135361;69118;75803;0;15.26;0;0.00;
8279;DonSezar;1.112.6;Donario;1;4.342.6,4.258.1,4.56.2;SD3,Sezario,Rio;[EMPIRE_V];Воранер;137;III;3174002;35623.40;158184;146080;42537;0;32.53;0;0.00;
8254;Catk;2.130.5;Runt;1;4.396.5,4.427.1,4.396.2;Pipka,colony-2,Pinta;[PIRATES];Лиенсу;79;III;3116147;3260.70;193772;124700;95149;0;7.31;0;0.00;
8256;Mike_Mikles;1.226.1;ыфвфывыф;1;4.360.3,4.360.2;Шаман,Шелезяка;[EMPIRE_V];Воранер;88;III;3105122;6962.52;119763;69535;31059;0;19.42;0;0.00;
8264;VIUST;1.300.1;VIUST;0;4.210.1,4.66.4;Дачa,Деpевня;[EMPIRE_V];Воранер;76;III;2934468;4021.10;129126;66085;115489;0;17.15;0;0.00;
8251;legasov;2.13.1;venda;1;4.443.4,4.443.2,4.481.3;Bafuta,Transkey,jeldor;[CLV];Лиенсу;91;III;2748200;5954.39;216635;105350;35059;0;18.16;0;0.00;
8293;666alex;1.302.1;VOLGALLA;1;4.427.3,4.174.3,4.269.6;kad_749,www2,www1;[EMPIRE_V];Воранер;59;III;2555094;2419.79;53144;113940;73489;0;6.68;0;0.00;
8271;Monkgrey;1.187.4;Giper;0;4.487.4,4.266.3;Giper3,Giper2;[EMPIRE_V];Воранер;57;III;2520840;1332.05;112715;41126;120877;0;19.92;0;0.00;
8267;Piorine;3.320.4;piorine;0;4.328.5,4.94.1,4.305.5;Durock,koatl,Arckh;[PC];Псолао;91;III;2482545;7633.70;68246;83549;83353;0;8.20;0;0.00;
8441;kanash;1.304.6;kanash_gorod;1;4.307.6,4.294.1,4.294.3;kanash-4,kanash2,kanash3;[EMPIRE_V];Воранер;131;III;2475828;25185.10;284816;149920;76063;0;23.20;0;0.00;
8273;winston_one;3.39.6;faterland;1;4.309.6,4.342.3;third_cell,cell4;[AP];Псолао;53;III;2462328;295.24;180621;68750;100705;0;17.28;0;0.00;
8320;senseySWIFT;2.1.5;LIS;1;4.344.4,4.331.5,4.53.3;LIS2,LIS1,LIS3;[CLV];Лиенсу;102;III;2356311;9181.52;52342;180085;108152;0;17.91;0;0.00;
8281;madmax25;1.100.5;Antarex;1;4.450.1,4.498.3,4.466.5;antarex2,antarex1,CAPAHCK;[EMPIRE_V];Воранер;143;III;2299313;45524.00;117218;177465;57309;0;19.42;0;0.00;
8265;kazkad;1.303.1;Kazkad;1;4.165.1,4.440.5,4.272.5;SuDan,Laria,KzSVU;[EMPIRE_V];Воранер;127;III;2264767;21274.80;313691;171310;18961;0;13.49;0;0.00;
49632;Hiro_Nakamura;1.205.6;Busido;0;4.250.4,4.101.4;Umnik,Alcatras_896;нейтралы;Воранер;95;III;2258919;9596.56;140635;86745;17161;0;17.53;0;0.00;
8358;Vadim19;3.263.2;alp;1;4.213.4,4.339.1,4.287.4;alpin,alpinov,avacha;[AP];Псолао;60;III;2231767;560.81;135984;142972;145936;0;21.56;0;0.00;
