id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
9490;abkbys;1.151.1;domik_moy;1;4.52.6,4.525.5,4.289.1;kolon-1,kolon2,MimicryTower21_765;[BUSHIDO];Воранер;127;III;56574673;24388.00;96914;139585;14279;0;44.77;-1912499;0.00;
9488;serg4100;2.71.2;dom4100;1;4.145.1,4.38.3,4.145.2;news2,MimicryTower4,news;[TC];Лиенсу;145;III;34218665;49315.00;102222;130315;31036;0;41.24;-1079506;0.00;
9491;sevilla135;2.31.3;sevilla;1;4.253.5,4.42.1,4.253.4;sevilla1357,MimicryTower7,sevilla135;[BUSHIDO];Лиенсу;99;III;17977268;9252.70;48523;95050;84438;0;36.19;-469047;0.00;
9494;XXxLLlll;3.59.2;west;1;4.187.4,4.220.5,4.191.4;MimicryTower10_799,dffghhj,krax;[MTV];Псолао;117;III;14446069;16271.00;39914;152307;26069;0;68.35;-432469;0.00;
48456;Dorca_Forbarra;3.101.5;VOR;1;4.61.4,4.241.4,4.109.6;MimicryTower26,Kyril-Island,Vorbar-Sultana;[TOR];Псолао;44;III;12045251;1077.02;38561;125292;14890;0;50.44;9479253;0.00;
9496;wadicaz;2.16.4;100500;1;4.160.2,4.186.2;war,war100;[TC];Лиенсу;95;III;10298920;9094.14;32928;80700;28868;0;43.38;-273332;0.00;
9499;able75;2.34.2;rion;1;4.42.4,4.50.6,4.52.3;MimicryTower9,RION2,RION1;[BUSHIDO];Лиенсу;59;III;9821555;2334.71;78755;135325;17117;0;40.61;-212515;1.00;
9486;ploher1;2.35.3;tupik;1;4.144.3,4.185.1;Dalniy-Ugol,SPECZONA;[BUSHIDO];Лиенсу;135;III;9310406;32856.30;110578;84122;47862;0;17.28;-18214;0.00;
9487;narkommax;3.161.3;petrov;0;4.18.4,4.42.5,4.273.3;fireman,MimicryTower10,FIRE;[BUSHIDO];Псолао;146;III;9038838;52397.70;174578;156785;21445;0;37.33;-168835;0.00;
9493;veeroshek;1.99.1;Forum;1;4.52.5,4.666.1,4.99.1;MimicryTower20,Parabarshik,Zabegalovka;[MBA];Воранер;88;III;8573752;7603.38;51073;91025;30520;0;37.70;-217597;0.00;
9536;imperationne;1.398.5;transilvania;1;4.129.5,4.229.4;wolferland,pretoria;[TC];Воранер;71;III;7644051;4420.89;48937;78189;44975;0;38.46;-209614;0.00;
9864;xxDRONxx;1.147.1;dom-Drona;0;4.76.6,4.31.1;dom-drona-76,dom-31;нейтралы;Воранер;56;III;7609501;2394.76;19012;123845;24228;0;36.57;-203487;0.00;
9492;vldimirpetrenk;1.166.3;TATARY;1;4.62.4,4.821.2,4.821.1;MimicryTower28,si4,Step;[TC];Воранер;55;III;7007567;2758.44;34928;115900;15307;0;38.97;-159652;0.00;
9511;Zelenaya8;1.151.2;Izumrud;1;4.311.2,4.15.4,4.17.2;MimicryTower18_747,Izumrud2,Izumrud1;[BUSHIDO];Воранер;57;III;6715523;2695.94;24842;140108;15375;0;35.56;-122906;0.00;
9618;chuma2008;3.117.1;pipindos;1;4.86.6,4.82.6;chebrik,buch;[CTHULHU];Псолао;36;III;6659975;419.22;34006;61708;43187;0;35.18;-168542;0.00;
9503;nicknh;3.60.1;acme;1;4.29.1,4.142.3,4.20.5;acme3,MimicryTower16_887,acme2;[TC];Псолао;108;III;6247802;10707.00;177056;74848;85356;0;34.55;-111403;0.00;
9497;Ferling;3.337.2;Ferra;1;4.58.2,4.51.5,4.525.4;MimicryTower23,Tericon,Alterra;[BUSHIDO];Псолао;70;III;6090470;3983.92;76538;131234;23381;0;34.55;-142707;0.00;
9555;DeadEjig;1.147.2;Zero;1;4.310.2,4.64.6,4.13.4;Zero-3,MimicryTower30,Zero-2;[WW];Воранер;61;III;5777164;3445.86;36850;103505;29749;0;31.53;-84001;0.00;
9508;urhon;3.285.6;Galador;1;4.46.5,4.580.4,4.31.4;MimicryTower13,Shannara,Kolo;[MBA];Псолао;56;III;5310750;671.75;198901;90238;50796;0;36.32;-96695;0.00;
9500;Michelok;3.101.2;Moonnight;1;4.123.3,4.189.5;Lite,Shumak;нейтралы;Псолао;38;III;5286739;0.08;32921;48302;144241;0;27.49;-37160;0.00;
20417;TinkyWinky;1.170.3;KrasnyaSumka;1;4.200.3,4.311.3,4.56.4;ZelenyaSumka,ProstoSumka,MimicryTower22;[BUSHIDO];Воранер;63;III;5216747;3707.44;39120;95640;24585;0;40.86;-92543;0.00;
9516;wikzai;1.118.5;zai;1;4.118.5,4.118.4;wik,wikt;нейтралы;Воранер;65;III;4913973;3644.31;43496;55060;81833;0;35.44;-87424;0.00;
9541;sanya88;1.115.1;sanya;0;4.371.4,4.61.3,4.118.6;MimicryTower27_455,KL-1,KL-2;[BUSHIDO];Воранер;51;III;4853646;2308.99;15166;125945;25321;0;35.31;-91905;0.00;
44245;yurhome;2.314.4;gorodb;1;4.269.3,4.180.3,4.45.5;MimicryTower23_648,gorodv,gorodv1;[BUSHIDO];Лиенсу;31;III;4788755;39.21;736;135910;8210;0;46.53;-121483;0.00;
9524;Alhulav;3.161.5;Alhulav;1;4.244.6,4.236.5,4.274.1;MimicryTower19_947,PionerKa,Ozerki;[BUSHIDO];Псолао;57;III;4757311;2590.95;61616;95171;25417;0;40.23;-94723;0.00;
9532;OlinVolk;3.13.3;Sepulka;1;4.26.3,4.13.3;Sepulka2,Sepulka1;[PW_PARTY];Псолао;39;III;4691366;95.80;25916;39540;170214;0;9.08;-478;0.00;
9519;Scvoch_Master;3.1.1;Dar_Messia;1;4.29.5,4.189.2,4.8.3;MimicryTower1,DoorToTheHell,NothingAndNever;[BUSHIDO];Псолао;41;III;4508571;309.91;58124;91611;69581;0;32.03;-54746;0.00;
9543;Glyants;3.333.3;Alexandr;1;4.333.4,4.332.1;4Skorp,4skorp-Almaty;[CTHULHU];Псолао;58;III;4491451;2446.77;44104;109261;44816;0;6.56;-454;0.00;
9727;xXxRAWENxXx;3.58.2;AWES;1;4.526.1,4.39.3,4.526.4;Godart,MimicryTower6,BUNKER_999;[BUSHIDO];Псолао;39;III;4425448;458.73;26026;149810;20400;0;35.06;-79304;0.00;
9600;oleg731389;2.170.1;1234567_988;0;4.127.2,4.89.4,4.62.3;8998976,12321,MimicryTower27;[TOR];Лиенсу;42;III;4246369;1038.43;31124;82750;63799;0;31.90;-39838;0.00;
9606;pnpnick;1.330.3;ats;1;4.330.4,4.330.6;Sprinfild,AEC;[WF];Воранер;76;III;4216123;5405.30;61174;52070;73258;0;32.03;1241021;0.00;
