id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
14469;Conquer;1.287.2;PointOut;1;4.1116.3,4.1116.4,4.1117.3;Lanzone,Minzone,Scizone;[LSA];Воранер;166;III;24278504;114997.00;213890;175170;54468;0;54.10;-1347842;10.00;
14472;Awful_Cold;1.47.1;BREZE;1;4.686.5,4.502.1,4.1750.3,4.55.6;Awful_1,MimicryTower4,Awful,Awful_2;[PACIFIC];Воранер;157;III;22895348;79588.40;154426;131255;66558;0;52.31;18228564;0.00;
14465;Kisik1;3.155.6;Koshka1;1;4.227.6,4.1065.6,4.93.6,4.632.6;MimicryTower3_978,Koshka-3,Koshka2,Koshka;[LP];Псолао;188;III;20927964;551208.00;279989;121479;72493;0;53.08;-1223980;0.00;
14622;Cheebus;1.277.3;Traian;1;4.800.4,4.450.1,4.200.1;Chebure,Straseni,Garaj;[BFG];Воранер;179;III;20128301;210789.00;235224;100510;22948;0;54.10;-1140316;0.00;
14461;Tropar;1.75.5;trit;1;4.1111.6,4.1250.1,4.879.1,4.1058.3;qvark,MimicryTower9,zarr,argon55;[HUNTERS];Воранер;134;III;14934450;30447.70;159682;125715;74205;0;51.67;-773266;0.00;
14464;Inkv;2.89.6;Dorikan;1;4.385.5,4.1057.2,4.16.2,4.208.5;Dorikan4,MimicryTower2_657,Dorikan3,Dorikan2;[UNION];Лиенсу;169;III;12796236;154309.00;410849;221835;19268;0;53.46;-749035;0.00;
14514;konstantin666;3.66.6;ХрупХрум;1;4.423.6,4.62.2,4.102.1,4.650.1;Хруп,Хрум,666666_784,MimicryTower7;[LP];Псолао;166;III;12376661;122860.00;137759;110091;52910;0;53.59;-716159;0.00;
14468;V_E_D_U_N;2.246.4;Alcatras;0;4.90.4,4.32.5,4.1055.1;+GSM+,Best,+Repair+;[ARBALET];Лиенсу;125;III;7807285;19501.70;267876;76660;121891;0;47.18;-328346;0.00;
14556;Dargaard;2.99.3;SadrithMora;1;4.309.6,4.212.4,4.12.1,4.109.5;TelFyr,TelUvirith,TelVos,MimicryTower4_947;[LP];Лиенсу;136;III;7500634;39083.50;50417;207050;127224;0;52.05;-401342;0.00;
14471;Karamazoff;2.162.1;Karamazoff;1;4.1193.3,4.1122.6;Kar,Karam;[BFG];Лиенсу;136;III;7248088;32852.80;267420;138280;16491;0;29.87;-49645;0.00;
