id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
25997;Redmaverick_D;1.129.1;Nikfi_D;1;4.332.1,4.14.4;Gorod,Region;[W];Воранер;121;III;13029671;19320.40;104313;84090;17213;0;13.49;-3085;0.00;
25996;volk0812;2.104.5;volk-volk;1;4.50.1,4.101.5,4.353.6;ART,Artemka,MimicryTower17_456;[FOX];Лиенсу;147;III;11331960;50362.00;392744;106945;29666;0;15.13;1736;0.00;
25998;qwert2094;1.323.6;nirvan;0;4.310.6,4.310.5;Qawert,Nirvana50;[DM];Воранер;62;III;10999364;3541.41;37078;128360;18287;0;15.26;-2520;0.00;
25995;kotok1980;1.150.3;MINSK_KIEV;0;4.200.5,4.302.2;MINSK-KIEV-1980,kotok-dom;[BOB];Воранер;121;III;9525754;21529.00;55392;107820;12390;0;13.24;-2099;0.00;
26002;Malyis;3.181.3;Malaya;1;4.181.5,4.273.5;Malaya3,Malaya2;[GIP];Псолао;45;III;8130658;498.03;111432;90175;45549;0;12.11;-1529;0.00;
26136;HTC;2.168.4;HTC;1;4.831.2,4.831.1;HTC-2,HTC-1;[FOX];Лиенсу;43;III;7700665;1444.74;34631;60995;49401;0;10.59;103;0.00;
26005;KAPITAN;3.350.1;moment;1;4.350.6,4.350.1;Brig,Schooner;[GIP];Псолао;82;III;5917382;6242.42;92206;90145;16786;0;12.74;-1177;0.00;
26011;Alexmen;3.153.4;GOODHOME;1;4.903.4,4.353.2,4.904.4;Goodhome2,MimicryTower15_674,goodhome3;[GIP];Псолао;137;III;5766415;36683.20;130352;95026;21111;0;12.61;83;0.00;
26007;GeneralGOR;3.120.1;TraP;0;4.281.6,4.161.4;GORa,Generala;[ELYSIUM];Псолао;121;III;5703061;19289.80;101478;145930;18094;0;10.97;-1026;0.00;
26006;Karage;3.124.3;Lovushka;1;4.337.1,4.329.1,4.78.1;MimicryTower10_766,Lovushka-329-1,Lovushka78-1;[GIP];Псолао;82;III;5699878;5676.52;115587;89482;47651;0;10.09;-947;0.00;
26019;Priap;2.104.3;ZONA333;1;4.555.5,4.11.2;Dodoma,zona2;[FOX];Лиенсу;61;III;4688480;3054.50;65132;76581;52599;0;9.71;286;0.00;
26417;bobbush;3.47.2;969;1;4.889.5,4.889.4;lasPalmas,paramaribo;[GIP];Псолао;53;III;4448465;1640.34;128968;80319;9371;0;14.38;285;0.00;
26008;AlekseiWAR;1.150.5;WARLAND;0;4.132.4,4.132.3;zero,000;[BOB];Воранер;45;III;4423485;1195.15;61998;78275;45074;0;9.71;-635;0.00;
26024;zadybrovsky;1.163.3;Fort_864;1;4.214.3,4.214.2;Bastion,Forpost;[BOB];Воранер;48;III;4398891;698.33;90952;59525;85801;0;14.50;-366;0.00;
26097;Stas27;1.156.2;Stasovcy;1;4.19.4,4.76.5;Xodorov,FiliSta;[BOB];Воранер;95;III;4201576;9658.42;31239;66570;57347;0;29.00;780;0.00;
26012;leshiyp;3.147.6;_Leshiy__946;1;4.265.2,4.193.6;Leshiyp3,Leshiy2;[GIP];Псолао;110;III;4161974;13340.30;79145;87112;29859;0;9.58;-626;0.00;
26013;eshca2008;1.164.5;eshca;0;4.133.4,4.133.6;eshca2,eshca3;[BOB];Воранер;60;III;3942583;3162.52;69506;71270;30564;0;10.09;-666;0.00;
26010;MrWise;1.168.4;MainCage;1;4.39.5,4.168.4;KadCage,VIPCage;[VOR];Воранер;34;III;3879721;21.68;3712;42697;144739;0;4.41;-95;0.00;
26043;Ferd594;1.323.5;Strelka;1;4.309.5,4.309.6;USA77,usa69;[DM];Воранер;68;III;3722266;1005.89;347079;65715;16765;0;10.59;-252;0.00;
44305;DirektorMira;2.70.1;MirSmerti;1;4.11.6,4.13.5;MirSmerti1,MirSmerti2;[FOX];Лиенсу;30;III;3632076;754.43;0;61525;6947;0;21.69;10664;0.00;
26058;Kripton1;3.36.6;Ibris;1;4.31.4,4.346.2,4.165.3;Ibris1,MimicryTower10_688,ibris2;[GIP];Псолао;61;III;3625607;2175.06;155355;80796;30790;0;28.50;7071;0.00;
26034;ARXANGELL;3.205.2;ZZZ0;1;4.422.4,4.323.3;ZZZ2,ZZZ1;[GIP];Псолао;39;III;3614427;579.08;84524;69224;21335;0;8.45;-412;0.00;
26017;lianel;1.24.1;lianel;1;4.24.6,4.24.1;lianel-2,lianel-1;[BOB];Воранер;42;III;3582076;828.65;66960;75510;42540;0;8.83;-426;0.00;
26021;badi79;1.225.2;oberon;1;4.238.6,4.224.6;oberon3,oberon2;[BOB];Воранер;58;III;3487555;1126.13;185197;70380;68256;0;6.81;-214;0.00;
26018;Urza;1.225.6;Dominaria;0;4.444.4,4.225.5;Rath,Tolaria;[ARIA];Воранер;60;III;3468620;2956.51;62716;57220;82371;0;5.67;-143;0.00;
26030;Demon_518;2.5.4;Oplot;1;4.55.3,4.236.1;WildWest,Rostov-on-Don;[DND];Лиенсу;47;III;3436277;1654.79;65500;71725;28670;0;11.35;426;0.00;
58053;amiran_;1.120.1;skatinka888;1;4.98.1,4.121.6,4.120.1;MimicryTower20,ufo-998,UFO_997;[BOB];Воранер;124;III;3421736;22588.40;31127;96975;14622;0;33.29;1331;0.00;
26016;doris_galina;3.112.4;Nuernberg;0;4.121.5,4.281.3;WAR,Bavaria;[MPSL];Псолао;80;III;3411038;5278.23;141704;84531;26306;0;10.21;-540;0.00;
26028;AlexMone;3.51.3;AlexCity;0;4.650.1,4.650.2;AlexCity2,AlexCity3;[ALX];Псолао;33;III;3354076;23.71;23440;50452;100867;0;6.31;-144;0.00;
26023;kvlternopil;3.78.3;laplandiya2007;0;4.265.5,4.329.6;LandAragorn,Sich;[GIP];Псолао;37;III;3301687;617.08;51563;70844;24289;0;9.71;-543;0.00;
26074;NZR;3.336.4;area51;1;4.422.6,4.422.1;def,Akademia;[GIP];Псолао;40;III;3260154;752.58;56718;79498;33493;0;8.70;-356;0.00;
26042;v_a_k;1.254.5;no_fear;0;4.175.2,4.131.2;Ufa2,Ufa;[BOB];Воранер;45;III;3201250;379.22;121857;49280;86220;0;9.84;-168;0.00;
26035;gollandecd;3.153.6;Holland_554;0;4.253.4,4.248.6;Holland2,Holland1;[GIP];Псолао;52;III;3189057;1316.66;128230;98820;19373;0;9.21;-411;0.00;
26026;sashatol;1.226.4;sasha;0;4.252.1,4.444.1;SUNRISE,sashatol1;[BOB];Воранер;107;III;3185004;12155.30;58545;110465;59348;0;14.88;-230;0.00;
26036;Epha;1.225.1;Phoenix_576;0;4.225.1,4.225.2;Phoenix-colony1,Phoenix-colony2;[BOB];Воранер;51;III;3139138;747.75;129217;103940;57182;0;4.67;-118;0.00;
26031;ScientificMan;1.328.1;Scientific;1;4.415.1,4.415.2;ScKolOne,ScKolTwo;нейтралы;Воранер;30;III;3098883;0.00;11032;43470;83095;0;5.04;-115;0.00;
26041;nickela;2.22.1;LUNA-44;1;4.156.6,4.41.4;Pluton-7,MARS-29;нейтралы;Лиенсу;50;III;3096740;1437.35;72928;66520;78601;0;6.81;1;0.00;
26029;vodolaz92;1.28.3;Fratria;0;4.928.3,4.28.3;FRATREA2,FRATRIA1;[BOB];Воранер;49;III;3024738;1669.71;56332;46925;80295;0;6.81;-193;0.00;
26044;alera150;1.24.3;PERM2;0;4.24.4,4.24.2;perm4,perm3;[BOB];Воранер;35;III;3015140;268.79;21544;44420;109453;0;5.80;-80;0.00;
26033;_Ra_;3.55.5;Pirate_Station;0;4.245.5,4.55.5;Shambala,Kitezh;нейтралы;Псолао;36;III;3005305;369.69;19295;44260;106723;0;6.68;-84;0.00;
26050;deadwood;1.116.1;DeadWorld01;1;4.216.6,4.216.1;DeadWorld03,DeadWorld02;нейтралы;Воранер;49;III;2992287;1064.28;128541;54055;43479;0;9.71;-360;0.00;
26040;fernir17;1.226.5;Vavilon17;0;4.231.5,4.226.5;Avalon17,Amber17;нейтралы;Воранер;59;III;2976253;2671.72;87143;88205;29172;0;9.08;-356;0.00;
26027;pilotpirks06;3.142.2;Gippokrat;1;4.329.4,4.113.6;DiamondPro-329-4,DiamondPro;[GIP];Псолао;42;III;2954074;215.04;114970;91935;25526;0;16.52;2526;0.00;
26115;pahanr;3.143.5;matrix_654;1;4.111.6,4.60.6,4.73.2;Pahanr3,Pahanr2,MimicryTower18;[GIP];Псолао;115;III;2951031;15561.10;55266;93023;40033;0;22.32;-154;0.00;
