id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
7376;12134567890;2.176.4;megapolis;1;4.920.5,4.762.5,4.512.1,4.350.1,4.327.5,4.185.5;Lara-Croft,Oduvanchikovo,prospekt,MimicryTower7,Lar-sity,universitet;[GALEON];Лиенсу;177;III;20795765;185609.00;533241;252795;54426;0;43.51;354634;0.00;
7386;mif_ugra;3.45.1;YUGORSK;1;4.683.1,4.683.2,4.683.5,4.683.4,4.683.3,4.650.2;HMAO1,HMAO2,HMAO5,HMAO4,HMAO3,MimicryTower4;[NWO];Псолао;152;III;20288139;63924.70;453969;175287;101132;0;41.99;17391747;0.00;
56405;Afinelka;2.1.2;Afinafi;1;4.212.5,4.212.1,4.212.4,4.212.3,4.212.2;Delia-5,Delia-1,Delia-4,Delia-3,Delia-2;нейтралы;Лиенсу;38;III;18189239;0.01;25441;187555;12280;0;4.67;1576;0.00;
7644;JEKA212;3.21.1;Neva;1;4.1006.5,4.901.5,4.739.5,4.523.2,4.291.2;Don,Hudson,Baikal,Enisey,Volga;[WAR];Псолао;176;III;9051191;187209.00;112805;169792;39622;0;42.62;168144;0.00;
56381;nightDOZA;1.11.1;Night;1;4.646.4,4.505.4,4.404.4,4.303.4,4.202.4;Night-5,Night-4,Night-3,Night-2,Night-1;нейтралы;Воранер;33;III;8606663;253.35;11296;123990;12173;0;6.56;4193;0.00;
7375;Falstaff;1.8.2;Tristram;1;4.1183.5,4.804.6,4.673.6,4.521.6,4.24.5;Kurast,Harrogath,Travincal,Lut-Gholein,ForgottenTower;[WAR];Воранер;183;III;6462588;285616.00;541257;128204;162159;0;36.95;78879;0.00;
7380;sav497;1.52.6;278;1;4.1153.5,4.1153.6,4.105.3,4.105.4,4.52.3;sav4971,sav4973,sav4975,sav4974,sav4972;[WAR];Воранер;166;III;5881005;109971.00;382846;139655;226803;0;39.47;89076;0.00;
7383;iskdir;3.162.2;Connect;0;4.1130.6,4.1129.6,4.1129.1,4.1129.5,4.1097.6,4.50.3;new003,new006,new004,new005,new002,MimicryTower2;[NWO];Псолао;117;III;5217885;9641.60;444116;246550;128023;0;46.03;78187;0.00;
7384;sau2005;1.164.1;sau2005;0;4.297.2,4.51.6,4.43.1,4.35.3,4.29.3;zero555,zero444,zero333,zero222,zero111;[EKWW];Воранер;117;III;4950790;11948.50;291625;180710;153239;0;41.49;85838;0.00;
7385;westfal;1.99.3;centner;0;4.1000.1,4.712.3,4.505.3,4.305.3,4.105.5;alligator,redrum,Nautilus,Calipso,zavod;[WAR];Воранер;118;III;4858893;17281.20;85039;123745;16791;0;41.99;89210;0.00;
