id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
3005;alegro8;2.115.5;alegro;1;4.775.5,4.748.6,4.115.4;MimicryTower4,alegro8,alegro1;[ULA];Лиенсу;119;III;38926899;16883.70;170069;125310;22010;0;26.03;13318;0.00;
3009;JF_SANYCH;2.197.1;SaFe123;1;4.195.1,4.197.5,4.75.5;Yadozz2,Yadozz1,MimicryTower9;[ULA];Лиенсу;165;III;25465876;112018.00;210284;110345;12765;0;29.10;8199;0.00;
3021;Antivirus27;2.331.6;Antivirus;0;4.431.1,4.348.6;Virus27,Anti27;[GL];Лиенсу;88;III;12518418;5699.56;234489;63330;24710;0;22.69;4252;0.00;
3361;A_nti_P;1.237.6;Lapland;1;4.237.5,4.274.1,4.155.6;Great-Ustyug,da4a-Dedywki,MimicryTower6;[UV];Воранер;110;III;12134777;13557.30;57895;123630;12511;0;23.21;119259;0.00;
3014;aivamar;1.127.1;MegaPas;1;4.129.1,4.258.1,4.255.5;Starsotum,Megasotum,MimicryTower10_655;[UV];Воранер;117;III;9178264;15140.00;188393;137960;23495;0;4.74;-3785;0.00;
3024;IegoFF;1.279.1;xat;1;4.401.6,4.141.5,4.228.5;GANDGUBAS2,MimickryTower2,GANDGUBAS1;[VSOP];Воранер;138;III;9077806;37297.10;165486;89840;25928;0;19.74;6425;0.00;
3015;brranivichok;2.115.1;brranivichok;1;4.176.3,4.244.6;langet,mojakolonija;[ULA];Лиенсу;106;III;9008034;9639.03;253360;74265;35908;0;15.26;1268;0.00;
3057;Maks_RS;1.271.4;mir;1;4.277.4,4.727.4,4.250.1;mir2,mir3,MimickryTower1;[VSOP];Воранер;76;III;7908273;4604.00;95705;101025;68102;0;20.00;-452;0.00;
3019;APOHAP;2.49.5;CTACEK;1;4.379.4,4.425.6;koloniya,ATAC;[ULA];Лиенсу;119;III;7849187;17179.30;190400;104790;14860;0;21.28;1938;0.00;
3045;MagXXXL;1.15.5;Apokalipsis;1;4.147.4,4.147.6;grabej,grabej2;[UV];Воранер;96;III;7842332;7907.25;71088;94785;140726;0;19.62;737;0.00;
3020;mittwoch;1.279.5;terranew;1;4.288.4,4.288.5;mitt,woch;[VSOP];Воранер;92;III;7765544;6828.26;181864;57840;72425;0;20.51;136;0.00;
3614;Serunchik;2.331.1;Doskinburg;1;4.105.6,4.397.6,4.397.3;MimicryTower10,BoraBora,Maldivi;[GL];Лиенсу;77;III;7084318;5516.06;30406;159615;11854;0;17.05;192;50.00;
3023;Money44;1.42.6;Alexandria;1;4.196.3,4.245.5;Chinval,ELDIABLO;[UV];Воранер;39;III;6596444;267.77;95129;83970;19636;0;21.54;1933;0.00;
3018;lionfs;1.444.3;lion_home;0;4.344.1,4.345.1;lion-mels-344-1,lion-mels-01;[VSOP];Воранер;132;III;6115176;30005.40;70887;50475;54067;0;19.87;916;0.00;
3091;Michadol;1.245.1;Mumbada;1;4.203.5,4.203.4;Mamba,Mumba;[UV];Воранер;89;III;6082782;6321.47;163089;118100;28018;0;23.08;2082;0.00;
3320;Valkyrine;2.196.3;GreenDeath;1;4.275.5,4.379.2,4.21.3;MimicryTower3,Hooked,Overdose;[ULA];Лиенсу;58;III;5906120;3471.20;13568;108885;9028;0;20.38;2009;0.00;
3046;amoonra;3.350.5;rivenhill;1;4.650.4,4.650.3;rivenhill3,rivenhill2;[LOL];Псолао;75;III;5903386;5313.72;56025;50110;81584;0;22.69;20110;0.00;
3034;vdr1624u1;2.114.4;qwertyuiop;1;4.193.2,4.193.1;VINNI,PYATACHOK;[ULA];Лиенсу;78;III;5715128;5460.39;100939;84425;19123;0;19.74;485;0.00;
3043;ivm63;2.110.5;waxa333;1;4.110.4,4.120.5;yanyk,MoonLight;[GL];Лиенсу;113;III;5613500;14427.60;74913;105760;62672;0;20.64;1782;0.00;
3193;Surmiz;2.338.1;SurmizPlanet;1;4.35.4,4.1.6;SurmizDnepr,SurmizIgren;[GL];Лиенсу;54;III;5450216;1182.82;124898;91490;44866;0;19.87;2788;0.00;
3041;Sahavan;3.232.5;Sanek;1;4.452.5,4.452.4;Sanitarium,Sheogorath;[WIZARDS];Псолао;83;III;5180008;6083.11;76601;60487;96451;0;18.97;4508;0.00;
3026;galenet;2.190.4;hsh;1;4.218.3,4.113.3;hsh-mm,hsh-m;[SW];Лиенсу;42;III;5143884;315.87;123950;81510;14329;0;8.46;-1472;0.00;
3158;SkyAngell;2.290.5;iParadise;1;4.363.2,4.363.1;iSky,iEarth;[SW];Лиенсу;131;III;5138726;29756.70;61519;99740;18530;0;23.59;977;0.00;
3031;buro_uslug;3.232.1;veles;0;4.619.4,4.283.4;001111,00111222;[WIZARDS];Псолао;40;III;5009890;968.73;36978;92242;29513;0;19.74;469;0.00;
3348;yomoyo;1.88.3;Legiony;1;4.527.3,4.526.5;Legion1,Legion2;[UV];Воранер;85;III;4921275;6987.54;60753;71490;42497;0;16.54;410;0.00;
3029;skywitch;1.85.1;witchy;0;4.85.1,4.97.6;witchy2,witchy3;[REPUBLIK];Воранер;35;III;4889049;638.04;39368;81380;17051;0;15.13;-329;0.00;
3032;Fajro;1.278.6;Mialando;1;4.848.3,4.848.4;Vilao,Vilao2;[PB];Воранер;37;III;4703536;690.53;34540;56930;61566;0;19.74;537;0.00;
3054;AlphaSp;3.285.4;DorBlue;0;4.268.4,4.234.2;DorGreen,DorPink;[HEBA];Псолао;92;III;4685842;8133.37;69611;91860;45449;0;20.90;1237;0.00;
3053;Marishca;3.351.3;Markitantka;1;4.452.2,4.452.3;Reef,Laguna;нейтралы;Псолао;54;III;4497051;1847.79;87497;68565;67867;0;19.74;464;0.00;
3051;mrdolfin555;1.42.2;Dimetra;1;4.235.4,4.87.4;Dimetra3,Dimetra2;[UV];Воранер;56;III;4307297;1296.30;178960;82835;21383;0;13.97;-830;0.00;
3033;12134567890;2.290.4;larisa;1;4.499.6,4.550.6;larisa-1,larisa-2;[SW];Лиенсу;126;III;4221435;23419.00;144839;93470;33032;0;12.56;-1200;0.00;
3047;irinav22;1.64.1;oktavia;1;4.415.6,4.415.2;oktavia1,oktavia2;[VOYAGER];Воранер;46;III;4180910;1179.00;75433;66100;51212;0;19.74;553;0.00;
3038;Gryzzly;1.451.4;Starberloga;0;4.453.4,4.451.4;Starberloga2,Starberloga1;[CTB];Воранер;63;III;4180636;2462.64;147642;66765;53877;0;16.79;-4;0.00;
3336;VeterinaR91;2.519.6;VeterinaR;0;4.795.4,4.795.3;apteka,Lechebnica;[ULA];Лиенсу;32;III;4136118;27.92;37014;57650;56214;0;2.18;-1865;0.00;
3037;FSOL;1.41.2;zondercommande;0;4.58.3,4.400.4;Silver-Bullet,Golden-Bullet;[UV];Воранер;42;III;4091110;607.24;91628;88580;25443;0;15.77;-202;0.00;
3219;nik911;2.337.5;nik911;1;4.178.2,4.306.3;nik9111,nik91;[GL];Лиенсу;128;III;4071690;25398.20;97868;78130;30761;0;20.38;669;0.00;
3028;Llevella;1.15.1;Llevelland;1;4.21.4,4.181.1;Llevellstadt,Llevelldorf;[UV];Воранер;146;III;4065096;52878.10;135341;87775;30398;0;21.15;9818;0.00;
3627;Fobia_K;2.199.1;Fobia_home;0;4.748.2,4.745.2;Fobia2,Fobia1;[ULA];Лиенсу;36;III;4022890;22.81;100220;55400;34206;0;24.10;950;0.00;
3075;ilya44;2.372.3;sweet_domik;1;4.371.5,4.371.6;lovely-penthouse,pentium;[GL];Лиенсу;68;III;3878866;3540.13;110299;110830;18830;0;21.92;3725;0.00;
3444;Fridenn;2.519.5;Horde;0;4.425.1,4.425.3;Zver,Volkodav;[ULA];Лиенсу;34;III;3634380;15.26;82273;75822;10687;0;2.18;-1811;0.00;
3059;kwm1;1.407.5;kwm;0;4.490.5,4.319.2;krokus,allium;[UV];Воранер;48;III;3573476;99.08;200457;63385;28879;0;20.38;726;0.00;
3016;gensan77;2.291.1;baena;1;4.840.5,4.138.5;baena2,baena1;[SW];Лиенсу;116;III;3544079;16269.60;84647;114265;15529;0;20.38;483;0.00;
3052;Zloy27;1.126.2;Omega;0;4.401.5,4.226.1;ganjuBas,germes4;[UV];Воранер;81;III;3522771;6567.45;62506;74000;11582;0;20.26;333;0.00;
61568;__sid__;1.338.1;chania;1;4.311.1,4.311.2;LALOND,SIDCITY;[UV];Воранер;174;III;3489448;162615.00;206074;71505;27466;0;19.41;-579;0.00;
3086;Aleksandr_;1.451.3;ZiLaTa;0;4.265.5,4.339.6;ZiLaColony2,ZiLaColony;[CTB];Воранер;64;III;3369511;3127.39;112738;85860;28983;0;18.46;44;0.00;
3074;GEGIMON;1.126.4;HomeG;1;4.59.3,4.515.3;home003,Koloni1;[UV];Воранер;49;III;3339221;2146.13;35245;89385;24072;0;12.31;711;0.00;
3174;_Genius_;1.405.2;DestinyS;1;4.327.2,4.342.2;MyDestiny,GeniusS;[REPUBLIK];Воранер;36;III;3326967;79.90;61599;72070;56228;0;17.44;-480;0.00;
3080;iskatel;2.18.1;pofigist;0;4.799.1,4.799.2;HAyKA1,HAyKA2;[ULA];Лиенсу;49;III;3160618;45.54;151171;64690;107967;0;9.23;-691;0.00;
4278;araratmedved;2.338.6;Ararat;0;4.541.2,4.541.4;araratm,medveda;[GL];Лиенсу;22;III;3072803;0.43;583;49820;8518;0;21.41;810;0.00;
3078;japo;2.177.5;kioto;1;4.558.1,4.558.6;Fudzi,Okinava;[ULA];Лиенсу;47;III;3036681;552.54;132379;83385;45434;0;16.92;527;0.00;
3330;nikitarechkunov89;2.115.4;f89;0;4.740.4,4.740.3;f88,f90;[ULA];Лиенсу;43;III;3022435;1378.39;37971;89625;17701;0;21.54;148;0.00;
21701;MimickryStronghold23;3.210.3;MimickryBase1;1;;;нейтралы;Псолао;1;I;3020026;0.32;0;10467;0;0;3.46;-1302;0.00;
21706;MimickryStronghold25;3.120.6;MimickryBase3;1;;;нейтралы;Псолао;1;I;3020010;0.15;0;10467;0;0;3.46;-1302;0.00;
21702;MimickryStronghold26;3.266.6;MimickryBase4;1;;;нейтралы;Псолао;1;I;3020000;0.28;0;10467;0;0;3.46;-1302;0.00;
21700;MimickryStronghold29;3.203.6;MimickryBase7;1;;;нейтралы;Псолао;1;I;3019997;0.28;0;10467;0;0;3.46;-1303;0.00;
21704;MimickryStronghold24;3.22.1;MimickryBase2;1;;;нейтралы;Псолао;1;I;3019994;0.40;0;10467;0;0;3.46;-1302;0.00;
21703;MimickryStronghold27;3.212.2;MimickryBase5;1;;;нейтралы;Псолао;1;I;3019990;0.75;0;10467;0;0;3.46;-1303;0.00;
21705;MimickryStronghold28;3.136.2;MimickryBase6;1;;;нейтралы;Псолао;1;I;3019987;0.24;0;10467;0;0;3.46;-1302;0.00;
3085;wolfmaster82;1.7.1;wolfTAUN;1;4.522.2,4.525.6;WOLFtaun82,ETO-WOLF;[VSOP];Воранер;70;III;2997936;4901.13;37336;89015;22256;0;24.10;1650;0.00;
