id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
35694;wasd05;3.65.3;poligon;0;4.597.5,4.597.4,4.597.3;kolony-2,kolony,ngk1975;[LINE78];Псолао;51;III;48324368;9604.58;34885;150219;68306;0;11.86;0;0.00;
43031;KALASHNIKOV;2.125.6;AK-47;0;4.503.2,4.503.1,4.503.3;AK-2,AK-1,AK-3;[GNV];Лиенсу;51;I;36265299;187664.00;0;56725;6249;0;12.18;0;0.00;
35696;qwerty_test11;3.46.6;qwerty_test_sota11;0;;;нейтралы;Псолао;1;I;35121319;13247900.00;0;11663;0;0;11.00;0;0.00;
35697;_130772_;1.44.2;130772;0;4.276.5,4.264.6,4.265.1;130772_2,130772_1,1917;[130772];Воранер;51;III;32037230;16179400.00;254466;96068;278186;0;11.43;0;0.00;
35699;Generalal;1.116.1;FREEGAMER_1;0;4.555.2,4.555.3,4.555.1;FREEGAMER_3,FREEGAMER_4,FREEGAMER_2;[GNV];Воранер;51;III;24596165;298906.00;109621;107470;278186;0;6.41;0;0.00;
35906;UOLM;2.132.1;UOLM_0;0;4.424.3,4.424.1,4.424.2;UOLM_3,UOLM_1,UOLM_2;[LINE78];Лиенсу;51;III;20112415;1204500.00;18824;105531;11896;0;15.38;0;0.00;
39629;SMEGO;2.114.5;SORMA_984;0;;;нейтралы;Лиенсу;7;I;14898870;0.00;0;400;3284;0;12.18;0;0.00;
35701;zloy_b;3.132.2;279;0;4.539.1,4.547.3,4.507.5;279a,279b,279c;[LINE78];Псолао;51;III;13958367;249964.00;121507;117060;108359;0;16.88;0;0.00;
35702;rekcin;1.54.5;PeaceMaker;0;4.477.5,4.477.6,4.477.4;Peace2,Peace3,Peace1;[VIKINGI];Воранер;51;III;11312296;1711.15;49190;86565;254299;0;3.31;0;0.00;
35704;favorit15_a;3.82.2;CLP;0;4.586.6,4.586.5,4.586.4;CLP-3,CLP-2,CLP-1;[GFX];Псолао;51;III;8372211;89332.20;202310;85827;278186;0;5.24;0;0.00;
35715;Catnix;2.90.3;COSMO;0;4.394.2,4.394.3,4.394.1;CAT-2,CAT-3,CAT-1;[LINE78];Лиенсу;28;III;8254349;1132.49;12;84520;6518;0;11.86;0;0.00;
35706;oktavian;2.4.5;lintonia;0;4.471.6,4.471.5,4.471.4;oktaedr3,oktaedr2,oktaedr1;нейтралы;Лиенсу;50;III;8008547;0.09;21282;77254;278186;0;2.03;0;0.00;
35707;nata05;3.18.3;nata_dom;0;4.30.6,4.27.5,4.31.5;nata02,nata1,nata03;нейтралы;Псолао;44;III;7183875;701.47;40655;95415;144936;0;11.43;0;0.00;
35708;lCH18l;1.138.6;SoS;0;4.422.2,4.422.4,4.422.1;lllll1lllll,IIIII3IIIII,IIIII2IIIII;[LINE78];Воранер;39;III;7075270;1588.67;4910;50900;144928;0;1.82;0;0.00;
35703;Fubsy_a;1.92.3;BetaHome_868;0;4.292.4,4.292.2,4.292.3;BetaColonyIII_855,BetaColonii_786,BetaColoni_849;[FIGA];Воранер;51;III;6533179;46768.50;199298;107220;278186;0;2.03;0;0.00;
35736;Aversis;1.21.5;hgfh;0;4.618.4,4.618.5,4.618.6;fd1,jh2,df3;нейтралы;Воранер;51;III;6258363;480405.00;58468;113104;278186;0;15.60;0;0.00;
35709;kirden;3.31.3;kirden-world;0;4.444.6,4.322.2,4.81.6;kirden-colony3,kirden-colony2,kirden-colony1;[IMHO];Псолао;36;III;5336827;0.00;14302;57235;137703;0;1.82;0;0.00;
35711;Queer_test;1.84.3;Neuner;0;4.77.2,4.133.3,4.117.6;Wilhelm,Beck,Henkel;[HR_VIP];Воранер;27;III;5138942;0.03;9568;47185;53919;0;1.82;0;0.00;
35717;ADMIRAL_KOLCHAK;2.125.5;KREISER__VARYAG;0;4.348.4,4.348.3,4.348.5;Lord_Of_War,Andromeda,White_Stars;[GNV];Лиенсу;51;III;4884395;1178890.00;84542;142807;278186;0;4.06;0;0.00;
35712;Sen_Simon;1.160.1;Bordo;0;4.563.5,4.160.6,4.447.2;Tuluza,Ruan,Tur;[LINE78];Воранер;51;III;4576151;6230.73;16704;98270;42098;0;5.13;0;0.00;
35716;Allushka;1.54.2;Gali4ina;0;4.58.2,4.58.1,4.54.1;Gali4ina2,Gali4ina3,Gali4ina1;нейтралы;Воранер;51;III;4361187;11549.10;209802;78521;252112;0;1.71;0;0.00;
35718;AlexWar13;1.177.1;sell_my;0;4.175.1,4.175.2,4.167.5;colony1,colony2,colony0;[GFX];Воранер;51;III;4225184;11706.80;69871;76313;278186;0;1.71;0;0.00;
35719;Handehoh;2.108.1;test-lisov;0;4.346.2,4.401.1,4.401.2;Test-lisov-3,Lis-test-1,test-lisov-2;[GNV];Лиенсу;51;III;4171152;14244.80;337071;102940;278186;0;11.11;0;0.00;
35713;Eide_miller;3.17.6;Eide_miller1;0;4.593.5,4.591.4,4.275.4,4.275.1,4.275.3;CaptureColony16_956,CaptureColony11_775,Eidemiller4,Eidemiller2,Eidemiller3;[GSVSK85];Псолао;51;III;4045065;36346.80;154552;218371;278186;0;15.81;0;0.00;
35720;NickErdenko;1.54.1;Nick_World;0;4.477.2,4.477.3,4.477.1;NEV2,NEV3,NEV1;[VIKINGI];Воранер;51;III;4018099;6954.66;62674;86485;257202;0;2.67;0;0.00;
