id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
6296;Manas;3.87.1;KYRGYZSTAN;1;4.1215.1,4.1119.4,4.1100.2,4.987.1;TogolokMoldo,ЖЕТЫ-ОГУЗ,MimicryTower8,ЫССЫК-КУЛЬ;[-=ВИП=-];Псолао;162;III;49881933;96892.40;278760;121412;116067;0;33.67;45683;0.00;
6331;Turim;3.72.3;Torm;1;4.731.4,4.150.4,4.114.3,4.371.5;Pront,MimicryTower2,NewTorm,Morana;[HALO];Псолао;182;III;29610196;265562.00;177765;109844;12649;0;38.34;29577;0.00;
6390;oleg723oleg;3.50.3;_new_dom_;1;4.1132.6,4.1000.1,4.815.3,4.34.5;3x3,MimicryTower7,1x1,2x2;[!CTC];Псолао;171;III;22082540;141865.00;267289;140297;35649;0;38.21;-3787;0.00;
6299;lheu4;2.128.3;wera;1;4.1299.2,4.1028.2,4.772.5;fedia,lheu,staia;[APEC];Лиенсу;163;III;15846310;100314.00;231396;187095;21844;0;35.06;9173;0.00;
6298;Progressiveage;3.151.3;CastleRock;0;4.93.2,4.1295.4,4.727.4;CastleRockK1,CastleRockK3,CastleRockK2;[DJ];Псолао;179;III;14465566;214775.00;365766;79723;52423;0;35.31;14307;0.00;
6329;_Bagira_;1.50.2;Sumatra;1;4.250.4,4.1204.3,4.283.2,4.75.3;MimicryTower3,olimp,Infinity,Sterva;[EMPIRE];Воранер;124;III;14377814;19111.40;317666;112695;24276;0;37.45;19487;0.00;
6297;Stradivari;1.27.3;Arial;0;4.32.2,4.32.3,4.33.4;Avalan2,Avalan,Avalan3;[FC];Воранер;136;III;13441617;35435.90;124479;90675;41020;0;35.18;11797;0.00;
6302;Andy_Panda;3.121.2;Shambala;0;4.167.4,4.592.4,4.1017.2;Сибирия,Валхала,Aid;[APEC];Псолао;84;III;12136214;268.53;321038;158254;278186;0;18.41;1716;0.00;
6301;Palwch;1.93.4;2000;0;4.115.4,4.1163.4,4.688.4;2000+1,DachaPalwcha2,VillaNatali;[=AIM=];Воранер;111;III;9018822;11418.50;212387;86725;119911;0;28.75;3386;0.00;
6303;sunweb;3.74.6;Clairvoyance;0;4.1301.6,4.1146.1,4.687.1;Darkanum,Cromium,Arminum;[-=ВИП=-];Псолао;84;III;8844771;3667.18;288151;89487;54812;0;7.94;182;0.00;
