id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
44779;tayno;3.52.1;LostEdem;1;4.166.1,4.49.1;Agora,Lastochka;[LC];Псолао;43;III;12890380;311.08;115907;107814;13098;0;33.29;65584;0.00;
33916;TKE;3.100.4;Caddy;1;4.14.1,4.17.3;Crafter,Golf;[TOR];Псолао;54;III;10490014;1858.43;110331;78592;32477;0;30.64;30633;0.00;
39054;Foxnet;1.2.3;X-zone;1;4.55.5,4.65.5;Y-zone,Z-zone;[TOR];Воранер;39;III;9202112;368.34;94846;71250;18892;0;31.27;25082;0.00;
20201;niko_samara;1.11.1;kolonia1;1;4.11.3,4.11.2;avanpost,akademia;[TOR];Воранер;45;III;7966778;1367.33;61223;78851;23327;0;34.43;15904;0.00;
51902;lnkvizitor;1.51.3;Inkvizition;1;4.51.3,4.51.5;Forpost,Outpost;[INK];Воранер;45;III;7898745;1380.31;74550;81540;12814;0;42.12;41080;0.00;
44758;Suddenly;1.5.2;fortunecity;1;4.68.1,4.174.5;CalmTown,DuneTown;[HRW];Воранер;52;III;7847089;2506.74;42579;82725;16637;0;30.77;17247;0.00;
20614;MimickryTower4;3.198.4;MimickryBase4;1;;;нейтралы;Псолао;1;I;7355580;3.24;0;10467;0;0;23.20;-48888;0.00;
20612;MimickryTower5;3.84.6;MimickryBase5;1;;;нейтралы;Псолао;1;I;7355484;0.58;0;10467;0;0;23.20;-48887;0.00;
20615;MimickryTower1;3.75.2;MimickryBase1;1;;;нейтралы;Псолао;1;I;7355470;1.03;0;10467;0;0;23.20;-48888;0.00;
20613;MimickryTower3;3.62.4;MimickryBase3;1;;;нейтралы;Псолао;1;I;7355438;0.53;0;10467;0;0;23.20;-48887;0.00;
20611;MimickryTower2;3.188.1;MimickryBase2;1;;;нейтралы;Псолао;1;I;7355341;0.22;0;10467;0;0;23.20;-48887;0.00;
39312;Eralash;2.36.4;Helper;1;4.169.3,4.59.2;ZZomby,Svin;[BUSHIDO];Лиенсу;61;III;5674374;2529.18;144350;66760;18604;0;52.21;-133163;0.00;
43484;BenderRodrigeZZZ;1.38.4;Fry;1;4.733.6,4.733.3;Leela,Zeudberg;[TOR];Воранер;42;III;5294422;293.58;140177;53895;27655;0;32.16;62232;0.00;
44250;yurhome;2.20.3;gorod;1;4.15.1,4.59.1;gorodst,gorods;[BUSHIDO];Лиенсу;33;III;5172449;529.98;22252;90345;8331;0;49.68;48152;0.00;
