id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
16218;Caprica;2.60.4;Heyron;1;4.343.3,4.342.6;Locutus,DeepSpace;нейтралы;Лиенсу;18;III;44203700;0.07;2462;27393;3537;0;0.00;0;0.00;
16219;NOSFERATOO;3.79.4;Elisium;1;4.325.5,4.323.3,4.321.3;Masquerad,Gehenna,BloodBrothers;нейтралы;Псолао;47;III;33943215;385.00;126802;98685;44765;0;0.00;0;0.00;
16220;MegaConstructor;1.80.6;DePatro;0;4.369.5,4.367.1,4.364.5,4.354.4,4.353.1;aaaaaa,36546354,mmmm,234543,bbbbbb;нейтралы;Воранер;67;III;31655288;472.59;143990;138700;233815;0;0.00;0;0.00;
55613;rurix;2.84.5;FERMA;0;4.390.5,4.388.6,4.388.3,4.385.5,4.384.4;VAGRA,liensygrad,TUBORG,brider,koh;нейтралы;Лиенсу;114;III;29228322;9184.12;327195;186805;230280;0;0.00;0;0.00;
16221;Andy_Panda;3.50.2;Shambala;0;4.317.2,4.316.6,4.316.5;Валхала,Сибирия,Aid;нейтралы;Псолао;72;III;28728273;355.00;298427;60757;206334;0;0.00;0;0.00;
16223;Zelgadiss;1.16.6;HORDE;1;;;нейтралы;Воранер;9;III;28350434;0.00;75;5568;1461;0;0.00;0;0.00;
16222;Frost;1.6.1;Home_frost;1;4.26.6,4.26.4,4.26.5;Frost_colony_2,Frostcolony3,Frost_colony_1;нейтралы;Воранер;81;III;26077706;4527.00;203810;78755;34529;0;0.00;0;0.00;
16224;VVerewolf;2.31.3;FullMoon;1;4.230.6,4.230.5;FullMoon-2,FullMoon-1;нейтралы;Лиенсу;22;III;23638939;135.00;3239;38369;6626;0;0.00;0;0.00;
16225;DandS;3.4.6;FreeLan;1;4.20.4,4.20.3,4.20.5;Kolonia_1,Kolonia-22,Kolonia_2;нейтралы;Псолао;28;III;22993577;47.00;17396;72357;23765;0;0.00;0;0.00;
16226;slobodanchik;2.14.4;moloko;1;;;нейтралы;Лиенсу;10;III;19389463;0.00;296;5653;2420;0;0.00;0;0.00;
16227;Xenos;3.28.2;Validace;1;4.150.2,4.150.3;LostValines,Dexades;нейтралы;Псолао;103;III;16717217;9773.00;205526;71724;18121;0;0.00;0;0.00;
16228;Werlena;3.86.5;SelenaW;1;4.354.5,4.346.4,4.345.5,4.340.5,4.330.6;SelenaP,SelenaR,Selena2,SSelena,SelenaAr;нейтралы;Псолао;52;III;14835531;737.67;126611;136858;36509;0;0.00;0;0.00;
16231;Ndew;2.24.2;Ndew;1;;;нейтралы;Лиенсу;13;III;14680022;0.00;396;10435;2769;0;0.00;0;0.00;
16229;Spider75;1.65.5;Spider_Home;0;4.328.4,4.328.5;Selicon_Valley,_NASA_;нейтралы;Воранер;98;III;14454640;8442.69;153057;65615;67417;0;0.00;0;0.00;
16230;Nika777;2.59.1;Lira;1;4.337.5,4.331.3,4.327.1,4.320.4;Lira3,Stone_flower,Lira4,Lira2;нейтралы;Лиенсу;55;III;13552656;1417.00;89226;141180;52426;0;0.00;0;0.00;
16232;pavel_krich;2.67.5;my_world;1;4.350.3,4.340.6;PREVEDVSEM2,prevedvsem;нейтралы;Лиенсу;88;III;13165815;5141.69;255107;101395;15835;0;0.00;0;0.00;
16233;_CANNIBAL_;1.22.6;все_пофигу;0;4.127.3,4.127.5,4.127.1,4.127.2,4.127.4;yce-pofigu3,все_пофигу5,yce-pofigu1,yce-pofigu2,все_пофигу4;нейтралы;Воранер;83;III;7661429;2799.00;297589;104307;101180;0;0.00;0;0.00;
16234;Temnoe;1.19.5;PureEvil;0;;;нейтралы;Воранер;12;III;5841817;0.00;841;9735;2543;0;0.00;0;0.00;
16236;olika7777;1.26.4;99977;1;;;нейтралы;Воранер;6;III;5442160;0.00;0;1954;373;0;0.00;0;0.00;
16238;KOJI;1.83.6;MONSTROSITY;0;4.333.5,4.332.1,4.323.2;mungo,NoMersyForWeaked,DangerZone;нейтралы;Воранер;36;III;5071430;28.00;67601;89645;34680;0;0.00;0;0.00;
16235;_RaceR_;1.121.1;suba123;0;4.364.2,4.361.3,4.347.4;CarerraGT,deLorean,baumanka;нейтралы;Воранер;59;III;5015760;1561.62;129744;94545;83913;0;0.00;0;0.00;
38193;Generalal;1.79.1;Freegamer;1;4.390.6,4.378.4,4.376.5;FREEGAMER-2,FREEGAMER-3,FREEGAMER-4;нейтралы;Воранер;45;III;4738947;686.27;64873;101505;64139;0;0.00;0;0.00;
16239;ABuaTop;3.54.2;Aviabase;0;4.270.6,4.261.2,4.258.4,4.257.1,4.248.1;Air_Traffic,Air_Colony,Air-Line,Airspace,Airport;нейтралы;Псолао;71;III;4727791;839.00;159255;167462;219898;0;0.00;0;0.00;
