id;nik;dom_adr;dom_name;gate;colony_adr;colony_name;alliance;rase;level;liga;rank;bo;archeology;building;science;nra;ra;delta_rank;delta_bo;
1063;Handehoh;1.83.4;Handehohland;1;4.800.5,4.284.3,4.702.1,4.78.1,4.2.2;MimicryTower4,Handehohland-2,Handehohland-3,Handehohland3,Handehohland-4;[LEGION];Воранер;154;III;33053102;65249.70;490143;145620;278186;0;28.97;413417;0.00;
1067;Arlandino;2.222.2;Arlandino;1;4.459.6,4.799.5,4.166.5,4.601.5;Arlandino3,Arlandino2,Arlandino4,Arlandino1;[BEGEMOT];Лиенсу;184;III;28985273;332346.00;270272;235445;16988;0;32.56;416532;0.00;
1064;Milordalex;2.88.6;Alexhome;1;4.500.1,4.610.6,4.123.5,4.500.6;alexarhosota,Alexnaukograd,forpostalex,zagorodniy_domik;[IGM];Лиенсу;135;III;24923865;28815.70;426461;101964;153490;0;24.49;202925;0.00;
1065;ZombaKhan;3.240.4;ZombaKhans;0;4.140.5,4.421.4,4.241.4,4.553.4;ZombaLands-3,Zomba,ZombaKhans_Land,ZombaLands-2;[**H**];Псолао;57;III;19476447;207.91;129228;106428;184131;0;31.92;277070;0.00;
1086;arieinna;2.84.4;azevoni;1;4.317.3,4.636.6,4.136.3,4.505.5,4.75.5;azevoni5,azevoni2,azevoni3,MimicryTower2,azevoni4;[IGM];Лиенсу;151;III;13620224;59566.90;388782;173016;72905;0;32.44;182885;0.00;
1066;AHAPXUST;1.234.1;KPUMATOPUI;0;4.661.2,4.550.2,4.550.6,4.626.6;Kalupsa,Evangelion,rai666,Equilibrium;[LEGION];Воранер;150;III;8453893;83418.10;225192;116925;51004;0;31.54;108464;0.00;
1394;kanobius;1.6.6;Montera;1;4.206.6,4.606.1,4.406.1,4.45.5,4.6.2;Gildern,Redok,Trelis,MimicryTower6,Venegard;[LEGION];Воранер;181;III;8424959;243706.00;22215;91775;190723;0;32.56;117224;0.00;
1070;micl;3.79.2;веста;1;4.394.1,4.300.5,4.713.1,4.688.1,4.76.5;веста1,MimicryTower5,веста_2,micl,3auMka;[PSOLAO];Псолао;185;III;7458086;385502.00;117578;230921;47718;0;33.85;88239;0.00;
1076;sergio1976;3.277.2;sergio1976;0;4.463.1,4.277.1,4.663.2,4.9.5;Anihilator,FinalCountdown,HardPlace,=sergio=;[**H**];Псолао;68;III;6952252;217.54;161148;117270;273189;0;23.97;41699;0.00;
1073;logonet;2.200.3;Logoimpex;0;4.182.4,4.467.1,4.668.4,4.701.6;kolonia,igm-forever,VipForum,Accento;[IGM];Лиенсу;100;III;6394182;6604.54;211484;109340;127349;0;28.46;64433;0.00;
1077;taak;1.96.6;dar123;1;4.221.3,4.757.5,4.744.6,4.197.6;dar3,dar5,dar4,dar2;[!!ED!!];Воранер;136;III;6389375;34742.00;88469;130795;60830;0;32.05;88442;2.00;
1075;vivax4;2.24.1;mikleu1;1;4.304.2,4.219.1,4.752.6,4.323.5;278,mikleu276,279,277;[TITANIYM];Лиенсу;112;III;6136000;7812.11;494665;187140;40656;0;23.85;46487;0.00;
1078;ann13;2.84.5;Nikilay13;0;4.347.6,4.148.5,4.659.6,4.155.3;Тринити,anndom4,Нео,arhi;[IGM];Лиенсу;129;III;5890724;20878.50;403294;184915;90338;0;24.49;48086;0.00;
1253;Torsian;1.84.5;Torsiada;1;4.432.3,4.432.4,4.432.1,4.432.2,4.600.5;Torsiada3,Torsiada4,Torsiada1,Torsiada2,MimicryTower3;[LEGION];Воранер;135;III;5472365;32574.40;119789;155610;36211;0;33.46;78794;0.00;
45091;Austa;1.89.2;Darked;1;4.800.6,4.483.4,4.259.2,4.165.5,4.260.3;EndofDark,MiddleDark,DarkMelsion,MimicryTower7,DarkMelsionDuo;[LEGION];Воранер;127;III;5328987;23591.40;96685;162170;26969;0;37.82;85875;0.00;
1082;Scalper;1.55.3;Romb;1;4.178.3,4.111.3,4.209.2,4.178.2;DOM8,DOM9,DOM21,DOM7;[LEGION];Воранер;121;III;5273476;18632.50;84354;139310;96532;0;31.67;61794;0.00;
22708;sistani2;1.299.6;drum;1;4.104.6,4.475.4,4.299.6,4.748.3;drum3,drum4,drum2,drum5;[LEGION];Воранер;77;III;4982171;6003.51;7661;127280;18436;0;43.08;80302;0.00;
1085;Technik666;1.95.5;skorpion666;1;4.171.1,4.35.5,4.218.3,4.625.5;skorpion222,skorpioh333,skorpion444,sorpio333;[!!ED!!];Воранер;137;III;4890696;37128.30;91124;107290;29842;0;31.54;61885;0.00;
